,dir_mito,dep_mito,dir_ribo,dep_ribo,global_dep
ACH-001289,0.8699930760398966,-0.4374769075129284,0.8705398545600703,-1.412453591176977,-0.13645591745861665
ACH-001538,0.8517883339746729,-0.3051047997411665,0.8687951708584231,-1.3961851742960965,-0.14468518412756906
ACH-000242,0.8624784136284626,-0.46583914983856495,0.8920283436669619,-1.3380517374987864,-0.13971660158637386
ACH-000233,0.846884751531526,-0.5031313524286141,0.8589083817760939,-1.3602661319161962,-0.15412275451629948
ACH-000461,0.8618484776389986,-0.5967342599112151,0.9124092861236612,-1.4013241041482656,-0.14432240548177747
ACH-001794,0.8414827443991567,-0.21017614399126527,0.8375628019143884,-1.2635851659957265,-0.14076120613632412
ACH-002023,0.8294395735392985,-0.41453442144834907,0.8396848553416053,-1.3692117639725914,-0.14756067387689537
ACH-000528,0.8595569167724929,-0.6000229837951447,0.8834634651026043,-1.4644851307202549,-0.1582008304041396
ACH-001655,0.8743332628173297,-0.33029187861989784,0.8824184412471808,-1.3630150311443276,-0.13842629628823364
ACH-000167,0.891718491744292,-0.47549788169613744,0.9196537428080177,-1.386235718736067,-0.1415917774439841
ACH-000792,0.8519907797709885,-0.3125028115440913,0.8866670140155265,-1.4726047666449733,-0.14724265541908887
ACH-001098,0.8340113959720508,-0.39352831834234814,0.860103758066557,-1.458032338779484,-0.14436312262797543
ACH-000570,0.8559094398748538,-0.40814524138697295,0.858439460815327,-1.5439043612231542,-0.1398503089675558
ACH-002040,0.8965957091535004,-0.3577004115986621,0.8700620017714791,-1.5340428981369636,-0.14818965196963432
ACH-000769,0.8791527282474347,-0.5078510757356143,0.9008075860990986,-1.5099034230131583,-0.14952668047245682
ACH-000421,0.8376438071360105,-0.3296394210770342,0.8952475232785763,-1.2603072453761728,-0.14844819630086037
ACH-000765,0.862834655456087,-0.39229750186218054,0.9012988366294258,-1.3951476942445977,-0.1433404360971259
ACH-001375,0.8636632708084458,-0.29313087243651376,0.8584662562987996,-1.3672134708843637,-0.13968907469358155
ACH-001814,0.8546684000630251,-0.28907417982051103,0.8730645845583583,-1.2692308108265942,-0.13871209537453458
ACH-000800,0.8714820727185302,-0.44640141897045527,0.8903454384410981,-1.3948465198386844,-0.14455230339915398
ACH-000606,0.8613616661194877,-0.5170142047657218,0.8799807965701781,-1.3912083311706926,-0.14355217572164033
ACH-000317,0.8510008355204801,-0.5081462714433909,0.8394697471548407,-1.4360922144356796,-0.1476586776492338
ACH-000123,0.8862449223769457,-0.5776827873143887,0.8985113620293114,-1.4317211661691072,-0.15187317251269794
ACH-002066,0.8622979386937635,-0.3778087634853017,0.8619422259603576,-1.5003829235060966,-0.14952381000619114
ACH-001536,0.8733386105250469,-0.36003200864085444,0.8709790027614235,-1.4287574151756435,-0.14542214106309428
ACH-000313,0.8236634340205611,-0.23061059891040403,0.8217452791568355,-1.298524464851633,-0.13765103003075124
ACH-002019,0.8470307008265439,-0.328806905345186,0.8766856964220585,-1.391874697821751,-0.1400948659210466
ACH-000700,0.8739996195902247,-0.37457550001811385,0.9139537480182507,-1.3929608125072885,-0.1375163215298215
ACH-000823,0.8674240545781311,-0.5193187385103284,0.9014968254795275,-1.3617771899859148,-0.1508921263511639
ACH-002029,0.8715448466088604,-0.5787600557688032,0.8891478291936792,-1.4341968465051138,-0.15810453821620657
ACH-001377,0.8693621984420775,-0.46736471014877284,0.8849997394883551,-1.4687901569351967,-0.1502052629309053
ACH-000754,0.8760689608849613,-0.45923649770517844,0.9105321136426227,-1.355508498261671,-0.1384192868782221
ACH-000138,0.833982206113047,-0.47996093057528905,0.8422944377042225,-1.348920109883241,-0.14426325444385052
ACH-001864,0.8530507169092144,-0.4068139670787052,0.8441515135726566,-1.2668931462117896,-0.1499113257462915
ACH-000383,0.8509697624447669,-0.38287689667467034,0.8982806231438545,-1.3734263282400512,-0.14722746474202444
ACH-001547,0.8743561752873007,-0.23402707373467596,0.8985001972445311,-1.3541195204510723,-0.1424168397116604
ACH-000917,0.8711239476741959,-0.49820230222096473,0.8941905903193872,-1.4128709337950207,-0.15477846111374924
ACH-002471,0.8565290181724133,-0.34077005930633897,0.8839636474607558,-1.4127056484993359,-0.14326853748267246
ACH-000984,0.8617483532839219,-0.31765016418140485,0.9078838266927675,-1.3293205432980328,-0.14061331570885818
ACH-001409,0.8447498115213944,-0.2868327266165185,0.8847913301724587,-1.3252150281333603,-0.14446149773876493
ACH-001707,0.868080355601534,-0.4408348940669366,0.8822822308728628,-1.4570091095192157,-0.13797039036844386
ACH-000633,0.8590512730858828,-0.630923314446844,0.8749395240824407,-1.3968626469210061,-0.14976968519461922
ACH-000520,0.8655781883329702,-0.31162820865098895,0.8891463405557086,-1.3402992182299767,-0.13444674255741051
